2025-04-19 00:01:24,541 | [32mINFO[0m | nl-to-sparql | logging_utils.py:132 | Logging initialized: console=INFO, file=DEBUG
2025-04-19 00:01:26,345 | [32mINFO[0m | sentence_transformers.SentenceTransformer | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-04-19 00:01:26,345 | [32mINFO[0m | sentence_transformers.SentenceTransformer | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-04-19 00:01:26,363 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-04-19 00:01:26,970 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-04-19 00:01:27,273 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 200 0
2025-04-19 00:01:27,584 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 200 0
2025-04-19 00:01:27,886 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-04-19 00:01:28,261 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 200 0
2025-04-19 00:01:28,587 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-04-19 00:01:30,979 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 200 0
2025-04-19 00:01:32,725 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-04-19 00:01:33,094 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/revision/main HTTP/1.1" 200 6761
2025-04-19 00:01:33,503 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 6761
2025-04-19 00:01:34,298 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /cross-encoder/ms-marco-MiniLM-L-6-v2/resolve/main/config.json HTTP/1.1" 307 0
2025-04-19 00:01:34,712 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /cross-encoder/ms-marco-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 200 0
2025-04-19 00:01:35,122 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /cross-encoder/ms-marco-MiniLM-L-6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-04-19 00:01:35,435 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /cross-encoder/ms-marco-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-04-19 00:01:35,799 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /cross-encoder/ms-marco-MiniLM-L-6-v2/resolve/main/README.md HTTP/1.1" 307 0
2025-04-19 00:01:36,120 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /cross-encoder/ms-marco-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 200 0
2025-04-19 00:01:36,123 | [32mINFO[0m | sentence_transformers.cross_encoder.CrossEncoder | CrossEncoder.py:205 | Use pytorch device: mps
2025-04-19 00:01:36,978 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/cross-encoder/ms-marco-MiniLM-L-6-v2 HTTP/1.1" 307 82
2025-04-19 00:01:37,377 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/cross-encoder/ms-marco-MiniLM-L6-v2 HTTP/1.1" 200 5299
2025-04-19 00:01:37,784 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /urchade/gliner_medium-v2.1/resolve/main/config.json HTTP/1.1" 404 0
2025-04-19 00:01:38,118 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/urchade/gliner_medium-v2.1/revision/main HTTP/1.1" 200 1507
